Step: 71500, Episode: 47, Stage: 1-1, Score: 1400, Time: 139, Episode Max X: 1079, All-Time Max X: 3157, Episode Reward: -32503.0
Step: 72000, Episode: 48, Stage: 1-1, Score: 300, Time: 331, Episode Max X: 738, All-Time Max X: 3157, Episode Reward: 10498.0
Step: 72500, Episode: 48, Stage: 1-1, Score: 500, Time: 331, Episode Max X: 787, All-Time Max X: 3157, Episode Reward: -69233.0
Step: 73000, Episode: 49, Stage: 1-1, Score: 200, Time: 381, Episode Max X: 352, All-Time Max X: 3157, Episode Reward: -4996.0
Step: 73500, Episode: 50, Stage: 1-1, Score: 0, Time: 390, Episode Max X: 43, All-Time Max X: 3157, Episode Reward: -2330.0
Step: 74000, Episode: 50, Stage: 1-1, Score: 500, Time: 379, Episode Max X: 856, All-Time Max X: 3157, Episode Reward: -27573.0
Step: 74500, Episode: 50, Stage: 1-1, Score: 700, Time: 279, Episode Max X: 930, All-Time Max X: 3157, Episode Reward: -49693.0
Step: 75000, Episode: 50, Stage: 1-1, Score: 700, Time: 321, Episode Max X: 1123, All-Time Max X: 3157, Episode Reward: -141420.0
Step: 75500, Episode: 50, Stage: 1-1, Score: 1900, Time: 224, Episode Max X: 1123, All-Time Max X: 3157, Episode Reward: -166845.0
Step: 76000, Episode: 51, Stage: 1-1, Score: 0, Time: 372, Episode Max X: 247, All-Time Max X: 3157, Episode Reward: 10859.0
Step: 76500, Episode: 51, Stage: 1-1, Score: 500, Time: 340, Episode Max X: 1122, All-Time Max X: 3157, Episode Reward: -27182.0
Step: 77000, Episode: 51, Stage: 1-1, Score: 1100, Time: 310, Episode Max X: 1122, All-Time Max X: 3157, Episode Reward: -101851.0
Step: 77500, Episode: 51, Stage: 1-1, Score: 1100, Time: 210, Episode Max X: 1122, All-Time Max X: 3157, Episode Reward: -140417.0
Step: 78000, Episode: 52, Stage: 1-1, Score: 0, Time: 391, Episode Max X: 318, All-Time Max X: 3157, Episode Reward: -20955.0
Step: 78500, Episode: 52, Stage: 1-1, Score: 100, Time: 291, Episode Max X: 1051, All-Time Max X: 3157, Episode Reward: -6860.0
Step: 79000, Episode: 53, Stage: 1-1, Score: 0, Time: 382, Episode Max X: 254, All-Time Max X: 3157, Episode Reward: -30931.0
Step: 79500, Episode: 54, Stage: 1-1, Score: 200, Time: 312, Episode Max X: 289, All-Time Max X: 3157, Episode Reward: -20490.0
Step: 80000, Episode: 54, Stage: 1-1, Score: 500, Time: 212, Episode Max X: 722, All-Time Max X: 3157, Episode Reward: -33018.0
Step: 80500, Episode: 54, Stage: 1-1, Score: 800, Time: 112, Episode Max X: 1102, All-Time Max X: 3157, Episode Reward: -45432.0
Step: 81000, Episode: 54, Stage: 1-1, Score: 1200, Time: 381, Episode Max X: 1130, All-Time Max X: 3157, Episode Reward: -204005.0
Step: 81500, Episode: 54, Stage: 1-1, Score: 2400, Time: 285, Episode Max X: 1130, All-Time Max X: 3157, Episode Reward: -228230.0
Step: 82000, Episode: 54, Stage: 1-1, Score: 2600, Time: 187, Episode Max X: 1130, All-Time Max X: 3157, Episode Reward: -268676.0
Step: 82500, Episode: 54, Stage: 1-1, Score: 2600, Time: 87, Episode Max X: 1130, All-Time Max X: 3157, Episode Reward: -314172.0
Step: 83000, Episode: 55, Stage: 1-1, Score: 0, Time: 388, Episode Max X: 688, All-Time Max X: 3157, Episode Reward: -41950.0
Step: 83500, Episode: 56, Stage: 1-1, Score: 300, Time: 323, Episode Max X: 684, All-Time Max X: 3157, Episode Reward: 16759.0
Step: 84000, Episode: 56, Stage: 1-1, Score: 800, Time: 330, Episode Max X: 1158, All-Time Max X: 3157, Episode Reward: -56059.0
Step: 84500, Episode: 57, Stage: 1-1, Score: 0, Time: 390, Episode Max X: 306, All-Time Max X: 3157, Episode Reward: -25389.0
Step: 85000, Episode: 57, Stage: 1-1, Score: 100, Time: 290, Episode Max X: 453, All-Time Max X: 3157, Episode Reward: -53496.0
Step: 85500, Episode: 58, Stage: 1-1, Score: 100, Time: 361, Episode Max X: 399, All-Time Max X: 3157, Episode Reward: -8765.0
Step: 86000, Episode: 58, Stage: 1-1, Score: 400, Time: 261, Episode Max X: 899, All-Time Max X: 3157, Episode Reward: -13585.0
Step: 86500, Episode: 58, Stage: 1-1, Score: 900, Time: 350, Episode Max X: 1125, All-Time Max X: 3157, Episode Reward: -92005.0
Step: 87000, Episode: 59, Stage: 1-1, Score: 300, Time: 339, Episode Max X: 617, All-Time Max X: 3157, Episode Reward: 2512.0
Step: 87500, Episode: 59, Stage: 1-1, Score: 300, Time: 393, Episode Max X: 808, All-Time Max X: 3157, Episode Reward: -76838.0
Step: 88000, Episode: 60, Stage: 1-1, Score: 0, Time: 399, Episode Max X: 40, All-Time Max X: 3157, Episode Reward: 1057.0
Step: 88500, Episode: 60, Stage: 1-1, Score: 1500, Time: 302, Episode Max X: 597, All-Time Max X: 3157, Episode Reward: 14144.0
Step: 89000, Episode: 60, Stage: 1-1, Score: 1500, Time: 202, Episode Max X: 725, All-Time Max X: 3157, Episode Reward: -19926.0
Step: 89500, Episode: 60, Stage: 1-1, Score: 1500, Time: 370, Episode Max X: 1122, All-Time Max X: 3157, Episode Reward: -109841.0
Step: 90000, Episode: 61, Stage: 1-1, Score: 0, Time: 389, Episode Max X: 241, All-Time Max X: 3157, Episode Reward: -9900.0
Step: 90500, Episode: 62, Stage: 1-1, Score: 0, Time: 352, Episode Max X: 339, All-Time Max X: 3157, Episode Reward: -16063.0
Step: 91000, Episode: 62, Stage: 1-1, Score: 100, Time: 340, Episode Max X: 667, All-Time Max X: 3157, Episode Reward: -76968.0
Step: 91500, Episode: 63, Stage: 1-1, Score: 200, Time: 398, Episode Max X: 304, All-Time Max X: 3157, Episode Reward: -25578.0
Step: 92000, Episode: 64, Stage: 1-1, Score: 0, Time: 399, Episode Max X: 43, All-Time Max X: 3157, Episode Reward: 2582.0
Step: 92500, Episode: 64, Stage: 1-1, Score: 0, Time: 299, Episode Max X: 709, All-Time Max X: 3157, Episode Reward: 9328.0
Step: 93000, Episode: 64, Stage: 1-1, Score: 400, Time: 362, Episode Max X: 1204, All-Time Max X: 3157, Episode Reward: -55992.0
Step: 93500, Episode: 65, Stage: 1-1, Score: 100, Time: 349, Episode Max X: 594, All-Time Max X: 3157, Episode Reward: 19257.0
Step: 94000, Episode: 66, Stage: 1-1, Score: 200, Time: 394, Episode Max X: 260, All-Time Max X: 3157, Episode Reward: -10287.0
Step: 94500, Episode: 66, Stage: 1-1, Score: 600, Time: 294, Episode Max X: 495, All-Time Max X: 3157, Episode Reward: -22622.0
Step: 95000, Episode: 66, Stage: 1-1, Score: 600, Time: 359, Episode Max X: 902, All-Time Max X: 3157, Episode Reward: -91551.0
Step: 95500, Episode: 66, Stage: 1-1, Score: 1000, Time: 259, Episode Max X: 902, All-Time Max X: 3157, Episode Reward: -124562.0
Step: 96000, Episode: 67, Stage: 1-1, Score: 0, Time: 379, Episode Max X: 683, All-Time Max X: 3157, Episode Reward: -20108.0
Step: 96500, Episode: 68, Stage: 1-1, Score: 0, Time: 388, Episode Max X: 110, All-Time Max X: 3157, Episode Reward: 4258.0
Step: 97000, Episode: 68, Stage: 1-1, Score: 300, Time: 315, Episode Max X: 314, All-Time Max X: 3157, Episode Reward: -40434.0
Step: 97500, Episode: 68, Stage: 1-1, Score: 1700, Time: 218, Episode Max X: 722, All-Time Max X: 3157, Episode Reward: -38211.0
Step: 98000, Episode: 68, Stage: 1-1, Score: 1900, Time: 384, Episode Max X: 1112, All-Time Max X: 3157, Episode Reward: -114933.0
Step: 98500, Episode: 69, Stage: 1-1, Score: 0, Time: 315, Episode Max X: 752, All-Time Max X: 3157, Episode Reward: -27579.0
Step: 99000, Episode: 70, Stage: 1-1, Score: 0, Time: 319, Episode Max X: 731, All-Time Max X: 3157, Episode Reward: 17170.0
